Bank Ticker,BAC,BAC,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,C,C,GS,GS,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC,WFC,WFC
Stock Info,Date,High,Low,Open,Close,Volume,Adj Close,Date,High,Low,Open,Close,Volume,Adj Close,Date,High,Low,Open,Close,Volume,Adj Close,Date,High,Low,Open,Close,Volume,Adj Close,Date,High,Low,Open,Close,Volume,Adj Close,Date,High,Low,Open,Close,Volume,Adj Close
0,2006-01-03,47.18000030517578,46.150001525878906,46.91999816894531,47.08000183105469,16296700.0,34.811729431152344,2006-01-03,493.7999877929688,481.1000061035156,490.0,492.8999938964844,1537600.0,379.5110473632813,2006-01-03,129.44000244140625,124.2300033569336,126.6999969482422,128.8699951171875,6188700.0,106.26336669921876,2006-01-03,40.36000061035156,39.29999923706055,39.83000183105469,40.18999862670898,12838600.0,27.013376235961918,2006-01-03,58.4900016784668,56.7400016784668,57.16999816894531,58.310001373291016,5377000.0,36.86734390258789,2006-01-03,31.975000381469727,31.19499969482422,31.600000381469727,31.899999618530277,11016400.0,20.72348022460937
1,2006-01-04,47.2400016784668,46.45000076293945,47.0,46.58000183105469,17757900.0,34.442012786865234,2006-01-04,491.0,483.5,488.6000061035156,483.7999877929688,1870900.0,372.5044860839844,2006-01-04,128.91000366210938,126.37999725341795,127.3499984741211,127.08999633789062,4861600.0,104.7956085205078,2006-01-04,40.13999938964844,39.41999816894531,39.77999877929688,39.619998931884766,13491500.0,26.85746192932129,2006-01-04,59.27999877929688,58.34999847412109,58.70000076293945,58.34999847412109,7977800.0,36.89261245727539,2006-01-04,31.81999969482422,31.364999771118164,31.799999237060547,31.530000686645508,10870000.0,20.483118057250977
2,2006-01-05,46.83000183105469,46.31999969482422,46.58000183105469,46.63999938964844,14970700.0,34.486385345458984,2006-01-05,487.7999877929688,484.0,484.3999938964844,486.2000122070313,1143100.0,374.3524475097656,2006-01-05,127.31999969482422,125.61000061035156,126.0,127.04000091552734,3717400.0,104.75438690185548,2006-01-05,39.810001373291016,39.5,39.61000061035156,39.7400016784668,8109400.0,26.93880271911621,2006-01-05,58.59000015258789,58.02000045776367,58.54999923706055,58.5099983215332,5778000.0,36.9937858581543,2006-01-05,31.55500030517578,31.309999465942383,31.5,31.4950008392334,10158000.0,20.460378646850582
3,2006-01-06,46.90999984741211,46.34999847412109,46.79999923706055,46.56999969482422,12599800.0,34.43461608886719,2006-01-06,489.0,482.0,488.7999877929688,486.2000122070313,1370200.0,374.3524475097656,2006-01-06,129.25,127.29000091552734,127.29000091552734,128.83999633789062,4319600.0,106.2385711669922,2006-01-06,40.2400016784668,39.54999923706055,39.91999816894531,40.02000045776367,7966900.0,27.12861442565918,2006-01-06,58.84999847412109,58.04999923706055,58.77000045776367,58.56999969482422,6889800.0,37.03173065185547,2006-01-06,31.774999618530277,31.38500022888184,31.57999992370605,31.68000030517578,8403800.0,20.580564498901367
4,2006-01-09,46.970001220703125,46.36000061035156,46.720001220703125,46.59999847412109,15619400.0,34.45680618286133,2006-01-09,487.3999938964844,483.0,486.0,483.8999938964844,1680700.0,372.5814208984375,2006-01-09,130.6199951171875,128.0,128.5,130.38999938964844,4723500.0,107.51673126220705,2006-01-09,40.720001220703125,39.880001068115234,39.880001068115234,40.66999816894531,16575200.0,27.56922912597656,2006-01-09,59.290000915527344,58.619998931884766,58.630001068115234,59.18999862670898,4144500.0,37.42372512817383,2006-01-09,31.825000762939453,31.55500030517578,31.674999237060547,31.674999237060547,5619600.0,20.57730865478516
5,2006-01-10,46.5099983215332,45.880001068115234,46.400001525878906,46.209999084472656,15634600.0,34.168418884277344,2006-01-10,485.5,480.7999877929688,483.0,485.3999938964844,1365800.0,373.7364196777344,2006-01-10,132.9499969482422,130.02000427246094,130.0500030517578,132.02999877929688,5536800.0,108.86900329589844,2006-01-10,40.75,40.06999969482422,40.5,40.72999954223633,16614800.0,27.60990524291992,2006-01-10,59.220001220703125,58.58000183105469,58.84999847412109,59.220001220703125,4713600.0,37.44269180297852,2006-01-10,31.684999465942383,31.44499969482422,31.549999237060547,31.649999618530277,7157800.0,20.56106948852539
6,2006-01-11,46.25,45.75,46.060001373291016,46.09999847412109,14742100.0,34.087093353271484,2006-01-11,495.7999877929688,485.7999877929688,495.7999877929688,489.7999877929688,1684300.0,377.1241455078125,2006-01-11,133.8000030517578,131.4199981689453,131.4499969482422,131.97000122070312,4671400.0,108.81956481933594,2006-01-11,40.869998931884766,40.61000061035156,40.72999954223633,40.70000076293945,12332300.0,27.58955955505371,2006-01-11,59.880001068115234,58.84000015258789,59.150001525878906,59.56999969482422,5837900.0,37.83649826049805,2006-01-11,31.895000457763672,31.575000762939453,31.649999618530277,31.815000534057617,8047000.0,20.66826057434082
7,2006-01-12,46.22999954223633,45.709999084472656,46.220001220703125,45.79999923706055,10546600.0,33.86527633666992,2006-01-12,491.0,488.7999877929688,491.0,490.2999877929688,1230000.0,377.5090942382813,2006-01-12,133.2100067138672,131.3800048828125,131.39999389648438,132.25,3725500.0,109.05044555664062,2006-01-12,40.41999816894531,39.900001525878906,40.25,39.95000076293945,12230000.0,27.081159591674805,2006-01-12,59.77999877929688,59.27000045776367,59.630001068115234,59.470001220703125,3817700.0,37.77297592163086,2006-01-12,31.790000915527344,31.43000030517578,31.70499992370605,31.44499969482422,10763600.0,20.427892684936523
8,2006-01-13,46.0,45.68000030517578,45.83000183105469,45.79999923706055,10791000.0,33.86527633666992,2006-01-13,491.8999938964844,487.2999877929688,491.0,489.2000122070313,940800.0,376.66217041015625,2006-01-13,133.66000366210938,131.89999389648438,132.02000427246094,133.25999450683594,2894900.0,109.88324737548828,2006-01-13,40.02999877929688,39.650001525878906,39.77999877929688,39.91999816894531,10961200.0,27.06081962585449,2006-01-13,59.66999816894531,59.060001373291016,59.56999969482422,59.380001068115234,3430900.0,37.7158203125,2006-01-13,31.795000076293945,31.51000022888184,31.549999237060547,31.625,6365600.0,20.544836044311523
