BAC Date,C Date,GS Date,JPM Date,MS Date,WFC Date,BAC,BAC Adj Close,BAC Close,BAC High,BAC Low,BAC Open,BAC Volume,Bank Ticker Stock Info,C,C Adj Close,C Close,C High,C Low,C Open,C Volume,Correlation 1-2,Correlation 1-3,Correlation 1-4,Correlation 1-5,Correlation 1-6,Correlation 2-3,Correlation 2-4,Correlation 2-5,Correlation 2-6,Correlation 3-4,Correlation 3-5,Correlation 3-6,Correlation 4-5,Correlation 4-6,Correlation 5-6,GS,GS Adj Close,GS Close,GS High,GS Low,GS Open,GS Volume,JPM,JPM Adj Close,JPM Close,JPM High,JPM Low,JPM Open,JPM Volume,MS,MS Adj Close,MS Close,MS High,MS Low,MS Open,MS Volume,WFC,WFC Adj Close,WFC Close,WFC High,WFC Low,WFC Open,WFC Volume
03-01-2006,03-01-2006,03-01-2006,03-01-2006,03-01-2006,03-01-2006,16296922.14,34.81172943,47.08000183,47.18000031,46.15000153,46.91999817,16296700,0,1539937.311,379.5110474,492.8999939,493.7999878,481.1000061,490,1537600,0.881,0.515,0.223,0.934,0.084,0.16,-0.212,0.791,-0.166,0.746,0.68,0.628,0.354,0.644,0.205,6189315.503,106.2633667,128.8699951,129.4400024,124.2300034,126.6999969,6188700,12838786.69,27.01337624,40.18999863,40.36000061,39.29999924,39.83000183,12838600,5377267.577,36.8673439,58.31000137,58.49000168,56.74000168,57.16999817,5377000,11016547.39,20.72348023,31.89999962,31.97500038,31.1949997,31.60000038,11016400
04-01-2006,04-01-2006,04-01-2006,04-01-2006,04-01-2006,04-01-2006,17758121.71,34.44201279,46.58000183,47.24000168,46.45000076,47,17757900,1,1873219.404,372.5044861,483.7999878,491,483.5,488.6000061,1870900,,,,,,,,,,,,,,,,4862214.526,104.7956085,127.0899963,128.9100037,126.3799973,127.3499985,4861600,13491685.82,26.85746193,39.61999893,40.13999939,39.41999817,39.77999878,13491500,7978071.573,36.89261246,58.34999847,59.27999878,58.34999847,58.70000076,7977800,10870147,20.48311806,31.53000069,31.8199997,31.36499977,31.79999924,10870000
05-01-2006,05-01-2006,05-01-2006,05-01-2006,05-01-2006,05-01-2006,14970920.86,34.48638535,46.63999939,46.83000183,46.3199997,46.58000183,14970700,2,1145416.752,374.3524475,486.2000122,487.7999878,484,484.3999939,1143100,,,,,,,,,,,,,,,,3718010.724,104.7543869,127.0400009,127.3199997,125.6100006,126,3717400,8109585.599,26.93880272,39.74000168,39.81000137,39.5,39.61000061,8109400,5778270.664,36.99378586,58.50999832,58.59000015,58.02000046,58.54999924,5778000,10158146.32,20.46037865,31.49500084,31.55500031,31.30999947,31.5,10158000
06-01-2006,06-01-2006,06-01-2006,06-01-2006,06-01-2006,06-01-2006,12600021.06,34.43461609,46.5699997,46.90999985,46.34999847,46.79999924,12599800,3,1372520.352,374.3524475,486.2000122,489,482,488.7999878,1370200,,,,,,,,,,,,,,,,4320218.909,106.2385712,128.8399963,129.25,127.2900009,127.2900009,4319600,7967086.859,27.12861443,40.02000046,40.24000168,39.54999924,39.91999817,7966900,6890071.272,37.03173065,58.5699997,58.84999847,58.04999924,58.77000046,6889800,8403947.001,20.5805645,31.68000031,31.77499962,31.38500023,31.57999992,8403800
09-01-2006,09-01-2006,09-01-2006,09-01-2006,09-01-2006,09-01-2006,15619621.11,34.45680618,46.59999847,46.97000122,46.36000061,46.72000122,15619400,4,1683012.881,372.5814209,483.8999939,487.3999939,483,486,1680700,,,,,,,,,,,,,,,,4724125.027,107.5167313,130.3899994,130.6199951,128,128.5,4723500,16575388.72,27.56922913,40.66999817,40.72000122,39.88000107,39.88000107,16575200,4144773.154,37.42372513,59.18999863,59.29000092,58.61999893,58.63000107,4144500,5619747.307,20.57730866,31.67499924,31.82500076,31.55500031,31.67499924,5619600
10-01-2006,10-01-2006,10-01-2006,10-01-2006,10-01-2006,10-01-2006,15634819.17,34.16841888,46.20999908,46.50999832,45.88000107,46.40000153,15634600,5,1368108.436,373.7364197,485.3999939,485.5,480.7999878,483,1365800,,,,,,,,,,,,,,,,5537433.919,108.8690033,132.0299988,132.9499969,130.0200043,130.0500031,5536800,16614989.66,27.60990524,40.72999954,40.75,40.0699997,40.5,16614800,4713873.313,37.4426918,59.22000122,59.22000122,58.58000183,58.84999847,4713600,7157946.891,20.56106949,31.64999962,31.68499947,31.4449997,31.54999924,7157800
11-01-2006,11-01-2006,11-01-2006,11-01-2006,11-01-2006,11-01-2006,14742318.25,34.08709335,46.09999847,46.25,45.75,46.06000137,14742100,6,1686644.324,377.1241455,489.7999878,495.7999878,485.7999878,495.7999878,1684300,,,,,,,,,,,,,,,,4672037.46,108.8195648,131.9700012,133.8000031,131.4199982,131.4499969,4671400,12332490.5,27.58955956,40.70000076,40.86999893,40.61000061,40.72999954,12332300,5838175.277,37.83649826,59.5699997,59.88000107,58.84000015,59.15000153,5837900,8047147.603,20.66826057,31.81500053,31.89500046,31.57500076,31.64999962,8047000
12-01-2006,12-01-2006,12-01-2006,12-01-2006,12-01-2006,12-01-2006,10546817.83,33.86527634,45.79999924,46.22999954,45.70999908,46.22000122,10546600,7,1232338.609,377.5090942,490.2999878,491,488.7999878,491,1230000,,,,,,,,,,,,,,,,3726137.29,109.0504456,132.25,133.2100067,131.3800049,131.3999939,3725500,12230187.6,27.08115959,39.95000076,40.41999817,39.90000153,40.25,12230000,3817975.923,37.77297592,59.47000122,59.77999878,59.27000046,59.63000107,3817700,10763746.8,20.42789269,31.4449997,31.79000092,31.43000031,31.70499992,10763600
13-01-2006,13-01-2006,13-01-2006,13-01-2006,13-01-2006,13-01-2006,10791217.18,33.86527634,45.79999924,46,45.68000031,45.83000183,10791000,8,943136.0622,376.6621704,489.2000122,491.8999939,487.2999878,491,940800,,,,,,,,,,,,,,,,2895540.723,109.8832474,133.2599945,133.6600037,131.8999939,132.0200043,2894900,10961386.44,27.06081963,39.91999817,40.02999878,39.65000153,39.77999878,10961200,3431175.396,37.71582031,59.38000107,59.66999817,59.06000137,59.5699997,3430900,6365747.025,20.54483604,31.625,31.79500008,31.51000023,31.54999924,6365600
17-01-2006,17-01-2006,17-01-2006,17-01-2006,17-01-2006,17-01-2006,14606114.79,33.50297165,45.31000137,45.58000183,45,45.40000153,14605900,9,1240011.989,372.8894348,484.2999878,487,482.7000122,485.1000061,1237700,,,,,,,,,,,,,,,,3622236.641,109.3307571,132.5899963,133.1300049,130.5899963,131,3621600,9941285.338,26.91846657,39.70999908,39.8199997,39.40999985,39.47999954,9941100,2624973.754,37.35377884,58.81000137,59.45999908,58.68000031,59.45000076,2624700,10690545.87,20.33369637,31.29999924,31.57500076,31.20000076,31.45999908,10690400
